ability_id	path	referenced_by_cards
[molisha]_spells	Assets\TcgEngine\Resources\Abilities\ongoing\[molisha]_spells.asset	0
activate_burst	Assets\TcgEngine\Resources\Abilities\activated\activate_burst.asset	0
activate_chain_get+1+2	Assets\TcgEngine\Resources\Abilities\activated\activate_chain_get+1+2.asset	0
activate_damage_equal_to_atk	Assets\TcgEngine\Resources\Abilities\activated\activate_damage_equal_to_atk.asset	0
activate_damage1(1)	Assets\TcgEngine\Resources\Abilities\activated\activate_damage1(1).asset	0
activate_discard	Assets\TcgEngine\Resources\Abilities\activated\activate_discard.asset	0
activate_draw_spell1(2)	Assets\TcgEngine\Resources\Abilities\activated\activate_draw_spell1(2).asset	0
activate_draw1	Assets\TcgEngine\Resources\Abilities\activated\activate_draw1.asset	0
activate_gain_mana1	Assets\TcgEngine\Resources\Abilities\activated\activate_gain_mana1.asset	0
activate_getstealth	Assets\TcgEngine\Resources\Abilities\activated\activate_getstealth.asset	0
activate_haste_shell	Assets\TcgEngine\Resources\Abilities\activated\activate_haste_shell.asset	0
activate_loseHP2_draw1	Assets\TcgEngine\Resources\Abilities\activated\activate_loseHP2_draw1.asset	0
activate_roll_send_hand	Assets\TcgEngine\Resources\Abilities\dice\activate_roll_send_hand.asset	0
activate_send_hand	Assets\TcgEngine\Resources\Abilities\activated\activate_send_hand.asset	0
activate_summon_僵尸	Assets\TcgEngine\Resources\Abilities\activated\activate_summon_僵尸.asset	0
activate_summon_铃仙幻象	Assets\TcgEngine\Resources\Abilities\activated\activate_summon_铃仙幻象.asset	0
after_attack_silence	Assets\TcgEngine\Resources\Abilities\other\after_attack_silence.asset	0
atk_equal_life	Assets\TcgEngine\Resources\Abilities\ongoing\atk_equal_life.asset	0
attack_armor1	Assets\TcgEngine\Resources\Abilities\other\attack_armor1.asset	0
attack_debuff_attack	Assets\TcgEngine\Resources\Abilities\other\attack_debuff_attack.asset	0
attack_paralyse1	Assets\TcgEngine\Resources\Abilities\other\attack_paralyse1.asset	0
attack_suffer_damage	Assets\TcgEngine\Resources\Abilities\other\attack_suffer_damage.asset	0
aura_ability_red	Assets\TcgEngine\Resources\Abilities\ongoing\aura_ability_red.asset	0
aura_dragon_summon	Assets\TcgEngine\Resources\Abilities\ongoing\aura_dragon_summon.asset	0
aura_life_enhancement_attack	Assets\TcgEngine\Resources\Abilities\ongoing\aura_life_enhancement_attack.asset	0
aura_life_enhancement_hp	Assets\TcgEngine\Resources\Abilities\ongoing\aura_life_enhancement_hp.asset	0
aura_vitality	Assets\TcgEngine\Resources\Abilities\ongoing\aura_vitality.asset	0
black_dragon_play	Assets\TcgEngine\Resources\Abilities\play\black_dragon_play.asset	0
black_dragon_player_damage	Assets\TcgEngine\Resources\Abilities\play\black_dragon_player_damage.asset	0
chain_clear_temp	Assets\TcgEngine\Resources\Abilities\spells\chain_clear_temp.asset	0
chain_damage3_repeart	Assets\TcgEngine\Resources\Abilities\play\chain_damage3_repeart.asset	0
chain_debuff2_ifzero_kill	Assets\TcgEngine\Resources\Abilities\spells\chain_debuff2_ifzero_kill.asset	0
chain_destroy	Assets\TcgEngine\Resources\Abilities\other\chain_destroy.asset	0
chain_destroy_zero_atk	Assets\TcgEngine\Resources\Abilities\other\chain_destroy_zero_atk.asset	0
chain_discover	Assets\TcgEngine\Resources\Abilities\spells\chain_discover.asset	0
chain_draw	Assets\TcgEngine\Resources\Abilities\other\chain_draw.asset	0
chain_draw1	Assets\TcgEngine\Resources\Abilities\activated\chain_draw1.asset	0
chain_draw2	Assets\TcgEngine\Resources\Abilities\other\chain_draw2.asset	0
chain_equip_use	Assets\TcgEngine\Resources\Abilities\equipment\chain_equip_use.asset	0
chain_fanhun	Assets\TcgEngine\Resources\Abilities\spells\chain_fanhun.asset	0
chain_gain_attack	Assets\TcgEngine\Resources\Abilities\activated\chain_gain_attack.asset	0
chain_heal_per_kill	Assets\TcgEngine\Resources\Abilities\other\chain_heal_per_kill.asset	0
chain_hibernate	Assets\TcgEngine\Resources\Abilities\spells\chain_hibernate.asset	0
chain_loseHP2	Assets\TcgEngine\Resources\Abilities\activated\chain_loseHP2.asset	0
chain_projectile1	Assets\TcgEngine\Resources\Abilities\spells\chain_projectile1.asset	0
chain_quickdraw	Assets\TcgEngine\Resources\Abilities\spells\chain_quickdraw.asset	0
chain_summon_lower2_discard	Assets\TcgEngine\Resources\Abilities\play\chain_summon_lower2_discard.asset	0
chain_treasure	Assets\TcgEngine\Resources\Abilities\spells\chain_treasure.asset	0
chain_treasure2	Assets\TcgEngine\Resources\Abilities\spells\chain_treasure2.asset	0
chain_undead_strike_not_swamp	Assets\TcgEngine\Resources\Abilities\spells\chain_undead_strike_not_swamp.asset	0
chain_undead_strike_swamp	Assets\TcgEngine\Resources\Abilities\spells\chain_undead_strike_swamp.asset	0
choice_draw2	Assets\TcgEngine\Resources\Abilities\other\choice_draw2.asset	0
choice_fury	Assets\TcgEngine\Resources\Abilities\play\choice_fury.asset	0
choice_gain5	Assets\TcgEngine\Resources\Abilities\other\choice_gain5.asset	0
choice_taunt	Assets\TcgEngine\Resources\Abilities\play\choice_taunt.asset	0
