ability_id	direct	reachable	chain_out
[molisha]_spells	False	False	0
activate_boost1	True	True	0
activate_burst	False	False	1
activate_chain_get+1+2	False	True	0
activate_damage_equal_to_atk	False	False	0
activate_damage1(1)	False	False	0
activate_damage1(2)	True	True	0
activate_damage2	True	True	0
activate_discard	False	False	0
activate_draw_spell1(2)	False	False	0
activate_draw1	False	False	0
activate_fire	True	True	0
activate_forest	True	True	0
activate_gain_mana1	False	False	0
activate_get+1+2	True	True	1
activate_getstealth	False	False	0
activate_haste_shell	False	False	0
activate_loseHP2_draw1	False	False	1
activate_roll_send_hand	False	False	1
activate_select_discard_spell	True	True	0
activate_send_hand	False	False	0
activate_summon_僵尸	False	False	0
activate_summon_铃仙幻象	False	False	0
activate_water	True	True	0
activated_(1)_heal3	True	True	0
add_spell_damage1	True	True	0
after_attack_silence	False	False	0
after_spell_attack2	True	True	0
atk_equal_life	False	False	0
attack_add_attack1	True	True	0
attack_armor1	False	False	0
attack_bounce	True	True	0
attack_debuff_attack	False	False	0
attack_paralyse1	False	False	0
attack_player_mana2	True	True	0
attack_poison	True	True	0
attack_poison2	True	True	0
attack_roll_attack_bonus	True	True	1
attack_suffer_damage	False	False	0
aura_ability_red	False	False	1
aura_attack_m1	True	True	0
aura_dragon_summon	False	False	1
aura_life_enhancement_attack	False	False	0
aura_life_enhancement_hp	False	False	0
aura_vitality	False	False	0
aura_wolf	True	True	0
black_dragon_death	True	True	0
black_dragon_play	False	False	1
black_dragon_player_damage	False	False	0
chain_clear_temp	False	True	0
chain_damage3_repeart	False	False	0
chain_debuff2_ifzero_kill	False	True	0
chain_destroy	False	False	0
chain_destroy_zero_atk	False	False	0
chain_discover	False	True	0
chain_draw	False	True	0
chain_draw1	False	False	0
chain_draw2	False	False	0
chain_equip_use	False	True	0
chain_fanhun	False	False	0
chain_gain_attack	False	False	0
chain_heal_per_kill	False	True	0
chain_hibernate	False	True	0
chain_loseHP2	False	False	1
chain_projectile1	False	True	0
chain_quickdraw	False	False	0
chain_summon_lower2_discard	False	False	0
chain_treasure	False	True	1
chain_treasure2	False	True	0
chain_undead_strike_not_swamp	False	False	0
chain_undead_strike_swamp	False	False	1
choice_draw2	False	False	0
choice_fury	False	True	0
choice_gain5	False	False	0
choice_taunt	False	True	0
death_blue_draw	True	True	0
death_create_dragon_red	True	True	0
death_debuff_enemy	True	True	0
death_draw	True	True	0
death_egg	True	True	0
death_fire_chicken_egg	True	True	0
death_give_shield	False	False	0
death_heal_hero_1	False	False	0
death_heal2	False	False	0
death_heal5	True	True	0
death_other_draw	True	True	0
death_summon_skeleton	True	True	0
death_summon_skeleton2	False	False	0
death_summon_zombie	False	False	0
deathtouch	True	True	0
defend_debuff_attack	False	False	0
defend_discard	False	True	0
defend_poison	True	True	0
defense_attack3	True	True	0
disappear	False	False	0
disorder	False	False	0
doomed	False	False	0
egg_growth	False	False	1
egg_transform	False	False	0
egg_transform_fire_chicken	True	True	0
egg_transform_phoenix	True	True	0
end_turn_blessing	True	True	2
end_turn_blessing_chain_draw	False	True	0
end_turn_blessing_chain_heal	False	True	0
end_turn_heal_all	False	False	0
enemy_draw_damage1	False	False	0
equip_armor2	True	True	0
equip_attack_use	False	False	0
equip_attack1	True	True	0
equip_attack2	False	False	0
equip_attack3	False	False	0
equip_defend_use	False	False	0
equip_destory	False	False	0
equip_first_strike	True	True	0
equip_gain_mana	True	True	1
equip_hp1	True	True	0
equip_hp2	True	True	0
equip_hp3	False	False	0
equip_lifesteal	True	True	0
equip_mana_kill	False	False	0
equip_taunt	True	True	0
firststrike	True	True	0
fishing_rod_ability	True	True	0
flying	True	True	0
flying_ally	True	True	0
flying_attack_1	True	True	0
flying_aura_attack	False	False	0
forest_tree_spirit_aura	False	False	0
fury	True	True	0
graveyard_draw	True	True	0
haste	False	False	0
hero_aura_ally_boost	False	False	0
hero_power_mana	False	False	0
immunity	False	False	0
kill_damage3_enemy_hero	True	True	0
kill_draw2	False	False	0
kill_growth	False	False	0
lifesteal	True	True	0
Paralysed	False	False	0
play_+3+3	True	True	0
play_-1atk	False	False	0
play_boost2	True	True	0
play_buff_angel	False	False	0
play_buff_discard	False	False	0
play_choice_taunt_fury	True	True	2
play_damage_all_atkvalue	False	False	0
play_damage_other_all2	True	True	0
play_damage1	True	True	0
play_damage2	False	False	0
play_damage3_creature	True	True	0
play_damage3_enemy_player	False	False	0
play_damage3_repeart	False	False	1
play_damage4_players	False	False	0
play_damage5	True	True	0
play_debuff1	True	True	0
play_destroy_artifact_equip	False	False	0
play_destroy_enemy	False	False	0
play_destroy_less4	True	True	1
play_disappear	False	False	1
play_disappear_-1atk	False	False	2
play_discard	False	False	0
play_draw_equipment	False	False	0
play_draw1	True	True	0
play_draw2	False	False	0
play_draw3	True	True	0
play_ghoul_buff	True	True	0
play_give_shield	False	False	0
play_haste	True	True	0
play_heal_hero_2	False	False	0
play_heal_hero_3	False	False	0
play_other_sacrifice	False	True	0
play_paralyse1_self	False	False	0
play_poison	False	False	0
play_recover2	False	False	0
play_recover3	True	True	0
play_revive_random	True	True	0
play_roll_attack	True	True	1
play_select_discard	True	True	0
play_set_attack1	True	True	0
play_silence	True	True	0
play_summon_angel_guardian	False	False	0
play_summon_recruit	False	False	0
play_summon_wolf	True	True	0
regen_all	True	True	0
regen3	False	False	0
regenerate	False	False	0
roll_add_attack	False	True	0
roll_attack_bonus	False	True	0
roll_send_hand	False	False	0
shell	True	True	0
spell_add_attack_suffer	False	False	1
spell_add_extinct	True	True	1
spell_add_hero_aura	False	False	1
spell_add_submerge	True	True	1
spell_ally_attack_2	True	True	0
spell_ally_hp_2	True	True	0
spell_annihilate	False	False	1
spell_armor2	False	False	0
spell_attack1	True	True	0
spell_baiguiyexing	False	False	1
spell_bounce	False	False	0
spell_buff1	True	True	0
spell_buff2	True	True	0
spell_buff4	True	True	0
spell_buff5	True	True	0
spell_coin	True	True	0
spell_damage_mana_max	False	False	0
spell_damage1	True	True	0
spell_damage3	False	False	0
spell_damage4	True	True	0
spell_debuff2_ifzero_kill	True	True	1
spell_destroy	False	False	0
spell_destroy_all	False	False	0
spell_divine_judgment	False	False	0
spell_divine_shield	False	False	0
spell_dragon_create	True	True	2
spell_draw_aura	True	True	0
spell_draw1	True	True	0
spell_exile	False	False	0
spell_fanhun	False	False	1
spell_fury	True	True	0
spell_give_flying_ability	False	False	0
spell_give_lifesteal_buff	False	False	0
spell_give_shield_buff	False	False	1
spell_give_shield_holy	False	False	0
spell_growth_potion	False	False	1
spell_heal_3	True	True	0
spell_heal_9	True	True	0
spell_heal_any	False	False	0
spell_heal_full	True	True	0
spell_heal_play_target	False	False	0
spell_hibernate	True	True	1
spell_hp2	True	True	0
spell_hp70	False	False	0
spell_immunity	True	True	0
spell_jixianhuohua	False	False	0
spell_kill_lowest_hp	True	True	0
spell_life_enhance	False	False	1
spell_life_enhancement	False	False	0
spell_new_turn	False	False	0
spell_paralyse3	True	True	0
spell_projectile1_repeat	True	True	1
spell_quickdraw1_repeat	False	False	1
spell_return_all	True	True	0
spell_revive	True	True	0
spell_revive_holy	False	False	0
spell_sacrifice_draw2	False	False	1
spell_send_board	False	False	0
spell_send_hand	True	True	0
spell_set_all_hp1	True	True	0
spell_shell	True	True	0
spell_silence_buff	False	False	0
spell_soul_harvest	True	True	1
spell_summon_dragon_red_damage	True	True	1
