owner_ability	key	kind	target_path	guid
[molisha]_spells	conditions_trigger		Assets\TcgEngine\Resources\Conditions\has_no_board_[molisha].asset	0ef6e4157c5aca9429d8996576dce800
activate_boost1	caster_fx		Assets\TcgEngine\Prefabs\FX\CastFX.prefab	baadd1fc54b9b4f4fa6d0aee484bc9f8
activate_burst	target_fx		Assets\TcgEngine\Prefabs\FX\Phoenix.prefab	a12deeffd1eefbb4f878c6692e5363fd
activate_chain_get+1+2	target_fx		Assets\TcgEngine\Prefabs\FX\Flame.prefab	b66600b51774daa49964ead5c6a00c49
activate_damage_equal_to_atk	target_fx		Assets\TcgEngine\Prefabs\FX\Flame.prefab	b66600b51774daa49964ead5c6a00c49
activate_damage1(1)	target_fx		Assets\TcgEngine\Prefabs\FX\Flame.prefab	b66600b51774daa49964ead5c6a00c49
activate_damage1(2)	target_fx		Assets\TcgEngine\Prefabs\FX\Flame.prefab	b66600b51774daa49964ead5c6a00c49
activate_damage2	target_fx		Assets\TcgEngine\Prefabs\FX\Flame.prefab	b66600b51774daa49964ead5c6a00c49
activate_discard	caster_fx		Assets\TcgEngine\Prefabs\FX\CastFX.prefab	baadd1fc54b9b4f4fa6d0aee484bc9f8
activate_draw_spell1(2)	target_fx		Assets\TcgEngine\Prefabs\FX\Flame.prefab	b66600b51774daa49964ead5c6a00c49
activate_draw1	target_fx		Assets\TcgEngine\Prefabs\FX\Flame.prefab	b66600b51774daa49964ead5c6a00c49
activate_fire	projectile_fx		Assets\TcgEngine\Prefabs\FX\FlameProjectile.prefab	80ec2da95252be64b8bcbf8556e05234
activate_forest	target_fx		Assets\TcgEngine\Prefabs\FX\PotionFX.prefab	be19380a491c8c245afe0dd96e02ba78
activate_gain_mana1	caster_fx		Assets\TcgEngine\Prefabs\FX\CastFX.prefab	baadd1fc54b9b4f4fa6d0aee484bc9f8
activate_get+1+2	target_fx		Assets\TcgEngine\Prefabs\FX\Flame.prefab	b66600b51774daa49964ead5c6a00c49
activate_getstealth	target_fx		Assets\TcgEngine\Prefabs\FX\PotionFX.prefab	be19380a491c8c245afe0dd96e02ba78
activate_loseHP2_draw1	target_fx		Assets\TcgEngine\Prefabs\FX\Flame.prefab	b66600b51774daa49964ead5c6a00c49
activate_select_discard_spell	caster_fx		Assets\TcgEngine\Prefabs\FX\Phoenix.prefab	a12deeffd1eefbb4f878c6692e5363fd
after_spell_attack2	target_fx		Assets\TcgEngine\Prefabs\FX\PotionFX.prefab	be19380a491c8c245afe0dd96e02ba78
attack_paralyse1	target_fx		Assets\TcgEngine\Prefabs\FX\Leaf.prefab	8d68eb12f4dda644184359acd4008081
attack_poison	target_fx		Assets\TcgEngine\Prefabs\FX\Leaf.prefab	8d68eb12f4dda644184359acd4008081
attack_suffer_damage	target_fx		Assets\TcgEngine\Prefabs\FX\Flame.prefab	b66600b51774daa49964ead5c6a00c49
chain_damage3_repeart	target_fx		Assets\TcgEngine\Prefabs\FX\Flame.prefab	b66600b51774daa49964ead5c6a00c49
