card_id	card_type	mana	atk	hp	deckbuilding	abil_seq	abil_id	trigger	target	value	duration	mana_cost	exhaust	status	effects	conditions_trigger	conditions_target	filters_target	fx
ashes_snake	Character	4	5	3	1	1	stealth	OnPlay	Self	0	0	0	0	stealth(StatusData.effect=10)					
bull_heat	Character	3	2	5	1	1	add_spell_damage1	Ongoing	PlayerSelf	1	0	0	0		EffectAddKeyword{duration=0;value=1;keyword→[spell_damage]}				
cave	Artifact	3	0	5	1	1	turn_end_damage_hero_2	EndOfTurn	PlayerOpponent	2	0	0	0		EffectDamage{bonus_keyword→[spell_damage]}				
dark_stallion	Character	3	3	3	1	1	activate_damage1(2)	Activate	SelectTarget	1	0	1	0		EffectDamage{bonus_keyword→[spell_damage]}		ConditionSlotEmpty{oper=1} + ConditionSelf{oper=1} + ConditionOwnerAI{oper=1}		target_fx=(缺失)
dragon_knight	Character	5	5	5	0	1	death_create_dragon_red	OnDeath	PlayerSelf	1	0	0	0		EffectSummon{summon→[dragon_red]}				
dragon_knight	Character	5	5	5	0	2	flying	Ongoing	Self	0	0	0	0	flying(StatusData.effect=24)					
dragon_red	Character	7	9	7	1	1	spell_immunity	Ongoing	Self	0	0	0	0	spell_immunity(StatusData.effect=18)					
dragon's_anger	Spell	11	0	0	1	1	spell_summon_dragon_red_damage	OnPlay	PlayTarget	9	0	0	0		EffectDamage{bonus_keyword→[spell_damage]}		ConditionSlotEmpty{oper=1} + ConditionOwnerAI{oper=1}		
equip_rock_bow	Equipment	2	3	1	1	0	(无能力)												
equip_sword	Equipment	2	1	0	1	1	equip_first_strike	Ongoing	EquippedCard	0	0	0	0	first_strike(StatusData.effect=23)					
fire_chicken	Character	2	2	1	1	1	death_fire_chicken_egg	OnDeath	Self	2	0	0	0		EffectSummon{summon→[fire_chicken_egg]}				caster_fx=(缺失)
fire_element	Character	5	4	3	1	1	play_damage_all2	OnPlay	AllCardsBoard	2	0	0	0		EffectDamage{bonus_keyword→[spell_damage]}		ConditionSelf{oper=1}		target_fx=(缺失)
firefox	Character	4	4	4	1	1	activate_select_discard_spell	Activate	CardSelector	0	0	4	0		EffectSendPile{pile=20}	ConditionCount{has_team={fileID: 0};has_trait={fileID: 0};has_type=20;oper=2;pile=40;value=1}	ConditionCardPile{oper=0;type=40} + ConditionCardType{has_team=0;has_type=20;oper=0} + ConditionOwner{oper=0}		caster_fx=(缺失)
hell_hound	Character	4	4	2	1	1	fury	Ongoing	Self	0	0	0	0	fury(StatusData.effect=22)					
imp	Character	1	1	1	1	1	play_deal_damage1	OnPlay	SelectTarget	1	0	0	0		EffectDamage{bonus_keyword→[spell_damage]}		ConditionSelf{oper=1} + ConditionSlotEmpty{oper=1} + ConditionOwnerAI{oper=1}		target_fx=(缺失)
lava_beast	Character	3	2	3	1	1	after_spell_attack2	OnPlayOther	Self	2	0	0	0		EffectAddStat{type=10}	ConditionCardType{has_team=0;has_type=20;oper=0} + ConditionOwner{oper=0}			target_fx=(缺失)
phoenix	Character	6	6	6	1	1	activate_damage2	Activate	SelectTarget	2	0	3	0		EffectDamage{bonus_keyword→[spell_damage]}		ConditionSlotEmpty{oper=1} + ConditionSelf{oper=1} + ConditionOwnerAI{oper=1}		target_fx=(缺失)
phoenix	Character	6	6	6	1	2	death_egg	OnDeath	Self	2	0	0	0		EffectSummon{summon→[phoenix_egg]}				caster_fx=(缺失)
