card	type	deckbuilding	mana	abilities	triggers	effects	conditions	filters	status	chain	ability_fx	score	suggested_batch	has_art	has_card_fx
angel_kiss	Spell	1	3	1	OnPlay	EffectHeal	ConditionSlotEmpty		0	0	0	4	4-条件过滤	0	0
armored_beast	Character	1	4	1	Ongoing				1	0	0	1	5-英雄光环亡语	1	1
ashes_snake	Character	1	4	1	OnPlay				1	0	0	1	2-数值直伤	1	1
bay	Artifact	1	2	1	OnDeathOther	EffectDraw	ConditionCardType,ConditionOwner		0	0	0	6	4-条件过滤	1	1
bear	Character	1	5	3	None,OnPlay				2	1	0	4	2-数值直伤	1	1
black_widow	Character	1	4	1	OnBeforeDefend		ConditionSelf		1	0	0	3	4-条件过滤	0	0
blessing	Equipment	1	2	0					0	0	0	0	1-白板	0	0
blessing_sword	Equipment	1	3	1	Ongoing				1	0	0	1	5-英雄光环亡语	0	0
bone_warrior	Character	1	4	1	OnDeath	EffectSummon			0	0	0	2	5-英雄光环亡语	0	0
branch	Spell	0	1	1	OnPlay	EffectDamage	ConditionOwnerAI,ConditionSelf,ConditionSlotEmpty		0	0	1	9	4-条件过滤	1	0
bravery_blessing	Spell	0	5	2	Ongoing,OnPlay	EffectAddStat	ConditionCardPile,ConditionCardType		1	0	0	7	5-英雄光环亡语	0	0
bull_heat	Character	1	3	1	Ongoing	EffectAddKeyword			0	0	0	2	5-英雄光环亡语	1	1
card_merchant	Character	1	6	1	OnPlay	EffectDraw			0	0	0	2	2-数值直伤	1	0
cave	Artifact	1	3	1	EndOfTurn	EffectDamage			0	0	0	2	2-数值直伤	1	1
coin	Spell	0	0	1	OnPlay	EffectMana			0	0	0	2	2-数值直伤	0	0
corruption_potion	Spell	1	2	2	None	EffectAddStat,EffectDestroy	ConditionCardPile,ConditionCardType,ConditionOwner,ConditionStat		0	1	0	13	4-条件过滤	0	0
crab_mana	Character	1	2	1	OnAfterAttack	EffectMana	ConditionTarget		0	0	0	4	4-条件过滤	1	1
crow	Character	1	2	2	Ongoing,OnPlay	EffectDamage	ConditionOwnerAI,ConditionSelf,ConditionSlotEmpty		1	0	1	10	5-英雄光环亡语	0	0
curse_trap	Secret	1	3	1	OnBeforeAttack	EffectDestroy	ConditionCardType,ConditionOwner		0	0	0	6	4-条件过滤	0	0
cursed_blade	Equipment	1	2	0					0	0	0	0	1-白板	0	0
dark_blessing	Spell	1	3	1	OnPlay	EffectAddStat	ConditionCardPile,ConditionCardType		0	0	0	6	4-条件过滤	0	0
dark_stallion	Character	1	3	1	Activate	EffectDamage	ConditionOwnerAI,ConditionSelf,ConditionSlotEmpty		0	0	1	9	4-条件过滤	1	1
death_pact	Spell	1	3	1	Ongoing				1	1	0	2	5-英雄光环亡语	0	0
death_reaper	Character	1	6	1	Ongoing				1	0	0	1	5-英雄光环亡语	0	0
divine_blessing	Spell	1	3	2	Ongoing,OnPlay	EffectAddStat	ConditionCardPile,ConditionCardType		1	0	0	7	5-英雄光环亡语	0	0
divine_grace	Spell	1	5	0					0	0	0	0	1-白板	0	0
divine_healing	Spell	1	2	1	OnPlay	EffectDraw			0	0	0	2	2-数值直伤	0	0
divine_judgment	Equipment	1	6	0					0	0	0	0	1-白板	0	0
divine_shield	Equipment	1	4	0					0	0	0	0	1-白板	0	0
dragon_black	Character	1	7	2	OnDeath,Ongoing	EffectSummon			1	0	0	3	5-英雄光环亡语	0	0
dragon_blue	Character	1	7	1	Ongoing				1	0	0	1	5-英雄光环亡语	1	1
dragon_egg	Spell	0	2	3	None,OnPlay	EffectClearTemp,EffectCreate,EffectSendPile	ConditionCardPile,ConditionCardType,ConditionDeckbuilding,ConditionOwner,ConditionStat	FilterRandom	0	1	0	19	4-条件过滤	0	0
dragon_green	Character	1	7	1	Ongoing				1	0	0	1	5-英雄光环亡语	1	1
dragon_knight	Character	0	5	2	OnDeath,Ongoing	EffectSummon			1	0	0	3	5-英雄光环亡语	1	0
dragon_red	Character	1	7	1	Ongoing				1	0	0	1	5-英雄光环亡语	1	1
dragon_white	Character	1	7	2	OnDeath,Ongoing	EffectHeal			1	0	0	3	5-英雄光环亡语	0	0
dragon's_anger	Spell	1	11	2	OnPlay	EffectDamage,EffectSummon	ConditionOwnerAI,ConditionSlotEmpty		0	1	0	9	4-条件过滤	1	1
