card	ability	trigger	target	result	effects	reason
Plague_Rat	death_debuff_enemy	OnDeath	AllCardsBoard	ok	13 节点	
angel_kiss	spell_heal_3	OnPlay	PlayTarget	ok	4 节点	
armored_beast	taunt	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
ashes_snake	stealth	OnPlay	Self	data		状态直通（纯数据，无规则可图）
bay	death_blue_draw	OnDeathOther	PlayerSelf	ok	2 节点	
bear	play_choice_taunt_fury	OnPlay	ChoiceSelector	ok	1 节点	
black_widow	attack_poison2	OnBeforeDefend	AbilityTriggerer	data		状态直通（纯数据，无规则可图）
blessing_sword	equip_lifesteal	Ongoing	EquippedCard	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
bone_warrior	death_summon_skeleton	OnDeath	Self	ok	2 节点	
branch	play_deal_damage1	OnPlay	SelectTarget	ok	9 节点	
bravery_blessing	spell_buff4	OnPlay	SelectTarget	ok	13 节点	
bravery_blessing	firststrike	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
bull_heat	add_spell_damage1	Ongoing	PlayerSelf	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
card_merchant	play_draw3	OnPlay	Self	ok	4 节点	
cave	turn_end_damage_hero_2	EndOfTurn	PlayerOpponent	ok	2 节点	
coin	spell_coin	OnPlay	PlayerSelf	ok	2 节点	
corruption_potion	spell_debuff2	None	LastTargeted	todo		触发时机未支持（P1）：None
crab_mana	attack_player_mana2	OnAfterAttack	PlayerSelf	ok	2 节点	
crow	flying	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
crow	play_deal_damage1	OnPlay	SelectTarget	ok	9 节点	
curse_trap	trap_destroy	OnBeforeAttack	AbilityTriggerer	ok	2 节点	
dark_blessing	spell_buff2	OnPlay	SelectTarget	ok	13 节点	
dark_stallion	activate_damage1(2)	Activate	SelectTarget	ok	9 节点	
death_pact	vampire_lord	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
death_reaper	deathtouch	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
divine_blessing	spell_buff2	OnPlay	SelectTarget	ok	13 节点	
divine_blessing	lifesteal	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
divine_healing	play_draw3	OnPlay	Self	ok	4 节点	
dragon's_anger	spell_summon_dragon_red_damage	OnPlay	PlayTarget	ok	6 节点	
dragon_black	spell_immunity	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
dragon_black	black_dragon_death	OnDeath	Self	ok	2 节点	
dragon_blue	spell_immunity	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
dragon_egg	spell_dragon_create	OnPlay	AllCardData	ok	2 节点	条件走数据直通（图里表达不了：类型条件含阵营/种族（无对应节点））
dragon_green	spell_immunity	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
dragon_knight	death_create_dragon_red	OnDeath	PlayerSelf	ok	2 节点	
dragon_knight	flying	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
dragon_red	spell_immunity	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
dragon_white	spell_immunity	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
dragon_white	death_heal5	OnDeath	PlayerSelf	ok	2 节点	
eel	play_set_attack1	OnPlay	SelectTarget	ok	9 节点	
equip_ring	equip_gain_mana	StartOfTurn	PlayerSelf	ok	2 节点	
equip_shield	equip_armor2	Ongoing	EquippedCard	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
equip_shield	equip_taunt	Ongoing	EquippedCard	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
equip_sword	equip_first_strike	Ongoing	EquippedCard	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
fire_chicken	death_fire_chicken_egg	OnDeath	Self	ok	2 节点	
fire_chicken_egg	egg_transform_fire_chicken	StartOfTurn	Self	ok	2 节点	
fire_element	play_damage_all2	OnPlay	AllCardsBoard	ok	6 节点	
firefox	activate_select_discard_spell	Activate	CardSelector	ok	2 节点	
fish	death_draw	OnDeath	PlayerSelf	ok	2 节点	
fishing_rod	fishing_rod_ability	OnAfterAttack	AllSlots	ok	2 节点	
fishing_rod	equip_attack1	Ongoing	EquippedCard	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
fishing_rod	equip_hp1	Ongoing	EquippedCard	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
flame_eagle	flying	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
