id	name	category	inputs	outputs
112001	BooleanConst	其他	value:Boolean	return:Boolean
112002	Compare	其他	operator:CompareOperator,A:Object,B:Object	result:Boolean
106002	获取增益定义	Buff	buffDefine:DefineReference	value:BuffDefine
112003	IntegerConst	其他	value:Int32	result:Int32
112004	IntegerOperation	其他	operator:IntegerOperator,arg:Int32	result:Int32
112005	LogicOperation	其他	operator:LogicOperator,value:Boolean	result:Boolean
112006	StringConst	其他	value:String	value:String
111012	筛选	集合运算	array:Object,condition:NodeValueRef<Boolean>	element:Object,return:Object
212004	设置临时变量	其他	variableName:String,value:Object	
112007	获取临时变量	其他	variableName:String	return:Object
212001	分支动作	其他	isTrue:Boolean	thenAction:ActionNode,elseAction:ActionNode
212002	重复动作	其他	count:Int32	action:ActionNode,repeatTime:Int32
212005	重复动作直到	其他	condition:NodeValueRef<Boolean>,maxRepeatTime:Int32	action:ActionNode,repeatTime:Int32
112008	X到Y之间的随机整数	其他	countX:Int32,countY:Int32	return:Int32
112009	是否不存在	其他	value:Object	return:Boolean
212006	停止重复动作	其他		
212007	跳过重复动作	其他		
112010	根据条件选择值	其他	isTrue:Boolean,value:Object,elseValue:Object	return:Object
200001	使玩家获胜	游戏	players:Player	outEvent:EventArg
200002	使玩家失败	游戏	losers:Player	outEvent:EventArg
200004	创建牌堆	游戏	player:Player,pileName:String,capacity:Int32	return:Pile
200005	删除牌堆	游戏	player:Player,pile:Pile	return:Boolean
200006	从牌堆将卡牌移动到目标牌堆	游戏	card:Card,fromPile:Pile,toPile:Pile,position:Int32	outEvent:EventArg,return:Boolean
101002	获取玩家属性	玩家	player:Player,propName:String	return:Object
201002	设置玩家属性	玩家	player:Player,propName:String,value:Object	
101003	获取玩家对手	玩家	player:Player	return:Player
101004	获取玩家英雄	玩家	player:Player	return:Card
101005	获取当前回合的玩家	玩家		return:Player
101022	获取某个回合的玩家	玩家	turnCount:Int32	return:Player
101006	获取玩家的手牌	玩家	player:Player	return:Card
101007	获取玩家的墓地卡牌	玩家	player:Player	return:Card
101008	获取玩家牌库中的卡牌	玩家	player:Player	return:Card
201003	抽目标卡牌	玩家	targetCard:Card	outEventDraw:EventArg,outEventBurn:EventArg
201004	从一定数量的卡牌中选择一张	玩家	cards:Card,count:Int32	return:Card
201005	从一定数量的卡牌定义中选择一张	玩家	defines:CardDefine,count:Int32	return:CardDefine
201016	从一定数量的卡牌中选择一张	玩家	player:Player,cards:Card,count:Int32	return:Card
201017	从一定数量的卡牌定义中选择一张	玩家	player:Player,defines:CardDefine,count:Int32	return:CardDefine
101016	获取法术伤害	玩家	player:Player,baseDamage:Int32,spellCard:Card	return:Int32
101009	获取玩家延迟区	玩家	player:Player	return:Card
101010	获取玩家技能	玩家	player:Player	return:Card
209201	结束回合	回合		
209202	获得额外回合	回合	player:Player,value:Int32	
209203	使目标失去下一回合	回合	player:Player,value:Int32	
119001	获取回合数	回合		turnCount:Int32
119002	获取行动玩家	回合		player:Player
119003	判断是否该玩家回合	回合	player:Player	result:Boolean
119004	获取当前阶段	回合		phase:String
119005	判断是否为第一回合	回合		result:Boolean
201006	复原技能	玩家	player:Player	outEvent:EventArg
101011	获取玩家道具	玩家	player:Player	return:Card
101012	玩家是否装备道具	玩家	player:Player	return:Boolean
201007	摧毁道具	玩家	player:Player	outEvent:EventArg
101013	获取玩家暂存区	玩家	player:Player	return:Card
101014	获取当前灵力值	玩家	player:Player	return:Int32
101015	获取灵力上限	玩家	player:Player	return:Int32
201001	设置当前灵力值	玩家	player:Player,count:Int32	outEvent:EventArg
201008	增加当前灵力值	玩家	player:Player,count:Int32	outEvent:EventArg
201009	设置灵力上限	玩家	player:Player,count:Int32	outEvent:EventArg
201010	增加灵力上限	玩家	player:Player,count:Int32	outEvent:EventArg
101020	获取所有玩家	玩家		return:Player
101017	获取牌堆	玩家	player:Player,pileName:PileName	return:Pile
101018	获取玩家的当前回合数	玩家	player:Player	return:Int32
101019	玩家是否是先手	玩家	player:Player	return:Boolean
101021	获取疲劳层数	玩家	player:Player	return:Int32
201013	设置疲劳层数	玩家	player:Player,value:Int32	
201014	增加疲劳层数	玩家	player:Player,value:Int32	
201015	受到疲劳伤害	玩家	player:Player	outEvent:EventArg
105002	获取牌堆中的牌	牌堆	pile:Pile	return:Card
105001	卡牌所在牌堆判断（过时）	牌堆	card:Card,pileName:String	return:Boolean
105005	卡牌所在牌堆判断	牌堆	card:Card,pileName:PileName	return:Boolean
105003	获取牌堆名	牌堆	pile:Pile	return:String
105004	获取牌堆所属玩家	牌堆	pile:Pile	return:Player
106001	该增益	增益		return:Buff
206001	添加增益	增益	cards:Card,buffDefine:BuffDefine	outEvent:EventArg,return:Buff
206002	移除增益	增益	card:Card,buff:Buff	outEvent:EventArg,return:Boolean
