# 卡池编译冒烟（图 → AbilityData）  at=2026-09-23 20:07:28
# 列：card | effIdx | ability | trigger | target | condTrigger | condTarget | filters | status | effects | chains
Plague_Rat	0	<效果图>	PassiveEffect	所有角色			1		PassiveEffect 102032 EFCardOwner 112005 212001 102004 112003 112004 202037 102004 112003 112004 202037	
Plague_Rat	-	graph_Plague_Rat_PassiveEffect_nodedf16aa	OnDeath	AllCardsBoard		ConditionCardType{has_type=Character;oper=IsTrue} + ConditionOwner{oper=IsFalse}	FilterRandom{amount=1}		EffectRunGraph	
angel_kiss	0	<效果图>	ActivateEffect	打出目标			0		ActivateEffect 112001 212001 202013	
angel_kiss	-	graph_angel_kiss_ActivateEffect_nodeec7531	OnPlay	PlayTarget		ConditionSlotEmpty{oper=IsFalse}			EffectRunGraph	
armored_beast	-	taunt	Ongoing	Self				Protection		
ashes_snake	-	stealth	OnPlay	Self				Stealth		
bay	0	<效果图>	OnDeathOther	施法者玩家			0		OnDeathOther 210001	
bay	-	graph_bay_OnDeathOther_node669578	OnDeathOther	PlayerSelf	ConditionOwner{oper=IsTrue} + ConditionCardType{has_type=None;has_team=water;oper=IsTrue} + ConditionCardType{has_type=Character;oper=IsTrue}				EffectRunGraph	
bear	0	<效果图>	ActivateEffect	选择器			0		ActivateEffect	choice_taunt+choice_fury
bear	-	graph_bear_ActivateEffect_nodeed8cf2	OnPlay	ChoiceSelector					EffectRunGraph	choice_taunt+choice_fury
black_widow	-	attack_poison2	OnBeforeDefend	AbilityTriggerer	ConditionSelf{oper=IsFalse}			Poisoned		
blessing_sword	-	equip_lifesteal	Ongoing	EquippedCard				LifeSteal		
bone_warrior	0	<效果图>	PassiveEffect	自身			0		PassiveEffect 202003	
bone_warrior	-	graph_bone_warrior_PassiveEffect_nodefbefe5	OnDeath	Self					EffectRunGraph	
branch	0	<效果图>	ActivateEffect	选择目标			0		ActivateEffect 102001 112002 112005 112001 101030 112005 212001 202041	
branch	-	graph_branch_ActivateEffect_node6a8056	OnPlay	SelectTarget		ConditionSelf{oper=IsFalse} + ConditionSlotEmpty{oper=IsFalse} + ConditionOwnerAI{oper=IsFalse}			EffectRunGraph	
bravery_blessing	0	<效果图>	ActivateEffect	选择目标			0		ActivateEffect 102032 105005 112005 212001 102004 112003 112004 202037 102004 112003 112004 202037	
bravery_blessing	-	firststrike	Ongoing	Self				FirstStrike		
bravery_blessing	-	graph_bravery_blessing_ActivateEffect_node7bcf20	OnPlay	SelectTarget		ConditionCardType{has_type=Character;oper=IsTrue} + ConditionCardPile{type=Board;oper=IsTrue}			EffectRunGraph	
bull_heat	-	add_spell_damage1	Ongoing	PlayerSelf					EffectAddKeyword	
card_merchant	0	<效果图>	ActivateEffect	自身			0		ActivateEffect 210001 210001 210001	
card_merchant	-	graph_card_merchant_ActivateEffect_node66ba2d	OnPlay	Self					EffectRunGraph	
cave	0	<效果图>	EventEffect	对手玩家			0		EventEffect 202041	
cave	-	graph_cave_EventEffect_node4d3fac	EndOfTurn	PlayerOpponent					EffectRunGraph	
coin	0	<效果图>	ActivateEffect	施法者玩家			0		ActivateEffect AddManaNoClamp	
coin	-	graph_coin_ActivateEffect_nodeef32ea	OnPlay	PlayerSelf					EffectRunGraph	
crab_mana	0	<效果图>	OnAfterAttack	施法者玩家			0		OnAfterAttack AddManaNoClamp	
crab_mana	-	graph_crab_mana_OnAfterAttack_node148c76	OnAfterAttack	PlayerSelf	ConditionTarget{type=Player;oper=IsTrue}				EffectRunGraph	
crow	0	<效果图>	ActivateEffect	选择目标			0		ActivateEffect 102001 112002 112005 112001 101030 112005 212001 202041	
crow	-	flying	Ongoing	Self				Flying		
crow	-	graph_crow_ActivateEffect_nodeb78199	OnPlay	SelectTarget		ConditionSelf{oper=IsFalse} + ConditionSlotEmpty{oper=IsFalse} + ConditionOwnerAI{oper=IsFalse}			EffectRunGraph	
curse_trap	0	<效果图>	EventEffect	触发者			0		EventEffect 202016	
curse_trap	-	graph_curse_trap_EventEffect_node4f8916	OnBeforeAttack	AbilityTriggerer	ConditionCardType{has_type=Character;oper=IsTrue} + ConditionOwner{oper=IsFalse}				EffectRunGraph	
dark_blessing	0	<效果图>	ActivateEffect	选择目标			0		ActivateEffect 102032 105005 112005 212001 102004 112003 112004 202037 102004 112003 112004 202037	
dark_blessing	-	graph_dark_blessing_ActivateEffect_node5bb68a	OnPlay	SelectTarget		ConditionCardType{has_type=Character;oper=IsTrue} + ConditionCardPile{type=Board;oper=IsTrue}			EffectRunGraph	
dark_stallion	0	<效果图>	ActivateAbility	选择目标			0		ActivateAbility 112001 102001 112002 112005 101030 112005 212001 202041	
dark_stallion	-	graph_dark_stallion_ActivateAbility_nodeb67200	Activate	SelectTarget		ConditionSlotEmpty{oper=IsFalse} + ConditionSelf{oper=IsFalse} + ConditionOwnerAI{oper=IsFalse}			EffectRunGraph	
death_pact	-	vampire_lord	Ongoing	Self				LifeSteal		
death_reaper	-	deathtouch	Ongoing	Self				Deathtouch		
divine_blessing	0	<效果图>	ActivateEffect	选择目标			0		ActivateEffect 102032 105005 112005 212001 102004 112003 112004 202037 102004 112003 112004 202037	
divine_blessing	-	lifesteal	Ongoing	Self				LifeSteal		
divine_blessing	-	graph_divine_blessing_ActivateEffect_node4098df	OnPlay	SelectTarget		ConditionCardType{has_type=Character;oper=IsTrue} + ConditionCardPile{type=Board;oper=IsTrue}			EffectRunGraph	
divine_healing	0	<效果图>	ActivateEffect	自身			0		ActivateEffect 210001 210001 210001	
divine_healing	-	graph_divine_healing_ActivateEffect_node9203d2	OnPlay	Self					EffectRunGraph	
dragon's_anger	0	<效果图>	ActivateEffect	打出目标			0		ActivateEffect 112001 101030 112005 212001 202041	spell_summon_dragon_red_damage_chain
dragon's_anger	-	graph_dragon's_anger_ActivateEffect_nodec56efe	OnPlay	PlayTarget		ConditionSlotEmpty{oper=IsFalse} + ConditionOwnerAI{oper=IsFalse}			EffectRunGraph	spell_summon_dragon_red_damage_chain
dragon_black	0	<效果图>	PassiveEffect	自身			0		PassiveEffect 202003	
dragon_black	-	spell_immunity	Ongoing	Self				SpellImmunity		
dragon_black	-	graph_dragon_black_PassiveEffect_nodee2c547	OnDeath	Self					EffectRunGraph	
dragon_blue	-	spell_immunity	Ongoing	Self				SpellImmunity		
dragon_egg	0	<效果图>	ActivateEffect	卡牌定义			1		ActivateEffect CreateCardFromDefineRaw	chain_discover+chain_clear_temp
dragon_egg	-	graph_dragon_egg_ActivateEffect_node75399b	OnPlay	AllCardData		ConditionCardType{has_type=None;has_trait=dragon;oper=IsTrue} + ConditionDeckbuilding{oper=IsTrue}	FilterRandom{amount=4}		EffectRunGraph	chain_discover+chain_clear_temp
dragon_green	-	spell_immunity	Ongoing	Self				SpellImmunity		
dragon_knight	0	<效果图>	PassiveEffect	施法者玩家			0		PassiveEffect 202004	
dragon_knight	-	flying	Ongoing	Self				Flying		
