批次： full pass FINAL4｜用例数：309｜caster=火精灵
结果	编号	中文名	分类	测法	观测值	备注
✅	112001	BooleanConst	其他	OnPlay → 消费者(202001).v ← 112001「BooleanConst」.return；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=[NodeDoc] 载入 zmcs 节点 301 个，分类 16 个	auto｜
✅	112002	Compare	其他	OnPlay → 消费者(202001).v ← 112002「Compare」.result；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=True（类型 Boolean）｜日志=—	auto｜
✅	112003	IntegerConst	其他	OnPlay → 消费者(202001).v ← 112003「IntegerConst」.result；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=0（类型 Int32）｜日志=—	auto｜
✅	112004	IntegerOperation	其他	OnPlay → 消费者(202001).v ← 112004「IntegerOperation」.result；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=0（类型 Int32）｜日志=—	auto｜
✅	112005	LogicOperation	其他	OnPlay → 消费者(202001).v ← 112005「LogicOperation」.result；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=—	auto｜
✅	111012	筛选	集合运算	OnPlay → 消费者(202001).v ← 111012「筛选」.return；取「Object」通道（GetObjectInput）	GetObjectInput 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	212004	设置临时变量	其他	OnPlay → 212004「设置临时变量」；Run(OnPlay)	Run 动作数=1；日志=[NodeDoc] 212004 设置临时变量失败：变量名为空	auto｜要求执行数≥1
✅	212001	分支动作	其他	OnPlay → 212001「分支动作」；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	112008	X到Y之间的随机整数	其他	OnPlay → 消费者(202001).v ← 112008「X到Y之间的随机整数」.return；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=0（类型 Int32）｜日志=—	auto｜
✅	112009	是否不存在	其他	OnPlay → 消费者(202001).v ← 112009「是否不存在」.return；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=—	auto｜
✅	200001	使玩家获胜	游戏	OnPlay → 200001「使玩家获胜」；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	200002	使玩家失败	游戏	OnPlay → 200002「使玩家失败」；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	200005	删除牌堆	游戏	OnPlay → 200005「删除牌堆」；Run(OnPlay)	Run 动作数=1；日志=[NodeDoc] 200005 删除牌堆失败：牌堆口未解析	auto｜要求执行数≥1
✅	200006	从牌堆将卡牌移动到目标牌堆	游戏	OnPlay → 200006「从牌堆将卡牌移动到目标牌堆」；card ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=[NodeDoc] 200006 移动卡牌失败：目标牌堆口未解析	auto｜要求执行数≥1
✅	101002	获取玩家属性	玩家	OnPlay → 消费者(202001).v ← 101002「获取玩家属性」.return；取「Object」通道（GetObjectInput）	GetObjectInput 返回=30（类型 Int32）｜日志=—	auto｜
✅	201002	设置玩家属性	玩家	OnPlay → 201002「设置玩家属性」；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	101003	获取玩家对手	玩家	OnPlay → 消费者(202001).v ← 101003「获取玩家对手」.return；取「Player」通道（ResolveValuePlayer）	ResolveValuePlayer 返回=TcgEngine.Player（类型 Player）｜日志=—	auto｜
✅	101004	获取玩家英雄	玩家	OnPlay → 消费者(202001).v ← 101004「获取玩家英雄」.return；取「Card」通道（ResolveInputCard）	ResolveInputCard 返回=TcgEngine.Card（类型 Card）｜日志=—	auto｜
✅	101005	获取当前回合的玩家	玩家	OnPlay → 消费者(202001).v ← 101005「获取当前回合的玩家」.return；取「Player」通道（ResolveValuePlayer）	ResolveValuePlayer 返回=TcgEngine.Player（类型 Player）｜日志=—	auto｜
✅	101022	获取某个回合的玩家	玩家	OnPlay → 消费者(202001).v ← 101022「获取某个回合的玩家」.return；取「Player」通道（ResolveValuePlayer）	ResolveValuePlayer 返回=TcgEngine.Player（类型 Player）｜日志=—	auto｜
✅	101006	获取玩家的手牌	玩家	OnPlay → 消费者(202001).v ← 101006「获取玩家的手牌」.return；取「Card」通道（ResolveInputCard）	ResolveInputCard→GetObjectInput(兜底) 返回=List`1(6): [potion_red#m1W627rC8ZP8g6, spell_armageddon#RhxExAQ0iBz8, cave#AhfVFoHkVN3, fire_element#jyd2rMLCCq1P, firef…（类型 List`1）｜日志=—	auto｜
✅	101007	获取玩家的墓地卡牌	玩家	OnPlay → 消费者(202001).v ← 101007「获取玩家的墓地卡牌」.return；取「Card」通道（ResolveInputCard）	ResolveInputCard→GetObjectInput(兜底) 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	201003	抽目标卡牌	玩家	OnPlay → 201003「抽目标卡牌」；targetCard ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=[NodeDoc] 201003 抽目标卡牌失败：目标卡 hero_fire 不在拥有者卡库中	auto｜要求执行数≥1
✅	101016	获取法术伤害	玩家	OnPlay → 消费者(202001).v ← 101016「获取法术伤害」.return；spellCard ← 入口「卡牌」口(施法卡)；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=0（类型 Int32）｜日志=—	auto｜
✅	101009	获取玩家延迟区	玩家	OnPlay → 消费者(202001).v ← 101009「获取玩家延迟区」.return；取「Card」通道（ResolveInputCard）	ResolveInputCard→GetObjectInput(兜底) 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	101010	获取玩家技能	玩家	OnPlay → 消费者(202001).v ← 101010「获取玩家技能」.return；取「Card」通道（ResolveInputCard）	ResolveInputCard 返回=TcgEngine.Card（类型 Card）｜日志=—	auto｜
✅	209201	结束回合	回合	OnPlay → 209201「结束回合」；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	209202	获得额外回合	回合	OnPlay → 209202「获得额外回合」；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	209203	使目标失去下一回合	回合	OnPlay → 209203「使目标失去下一回合」；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	119002	获取行动玩家	回合	OnPlay → 消费者(202001).v ← 119002「获取行动玩家」.player；取「Player」通道（ResolveValuePlayer）	ResolveValuePlayer 返回=TcgEngine.Player（类型 Player）｜日志=—	auto｜
✅	119003	判断是否该玩家回合	回合	OnPlay → 消费者(202001).v ← 119003「判断是否该玩家回合」.result；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=—	auto｜
✅	119004	获取当前阶段	回合	OnPlay → 消费者(202001).v ← 119004「获取当前阶段」.phase；取「String」通道（ResolveInputString）	ResolveInputString 返回=未开始（类型 String）｜日志=—	auto｜
✅	201006	复原技能	玩家	OnPlay → 201006「复原技能」；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	101011	获取玩家道具	玩家	OnPlay → 消费者(202001).v ← 101011「获取玩家道具」.return；取「Card」通道（ResolveInputCard）	ResolveInputCard→GetObjectInput(兜底) 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	101012	玩家是否装备道具	玩家	OnPlay → 消费者(202001).v ← 101012「玩家是否装备道具」.return；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=—	auto｜
✅	201007	摧毁道具	玩家	OnPlay → 201007「摧毁道具」；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	101013	获取玩家暂存区	玩家	OnPlay → 消费者(202001).v ← 101013「获取玩家暂存区」.return；取「Card」通道（ResolveInputCard）	ResolveInputCard→GetObjectInput(兜底) 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	101014	获取当前灵力值	玩家	OnPlay → 消费者(202001).v ← 101014「获取当前灵力值」.return；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=2（类型 Int32）｜日志=—	auto｜
✅	101015	获取灵力上限	玩家	OnPlay → 消费者(202001).v ← 101015「获取灵力上限」.return；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=2（类型 Int32）｜日志=—	auto｜
✅	201001	设置当前灵力值	玩家	OnPlay → 201001「设置当前灵力值」；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	201008	增加当前灵力值	玩家	OnPlay → 201008「增加当前灵力值」；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	201009	设置灵力上限	玩家	OnPlay → 201009「设置灵力上限」；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	201010	增加灵力上限	玩家	OnPlay → 201010「增加灵力上限」；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	101020	获取所有玩家	玩家	OnPlay → 消费者(202001).v ← 101020「获取所有玩家」.return；取「Player」通道（ResolveValuePlayer）	ResolveValuePlayer 返回=TcgEngine.Player（类型 Player）｜日志=—	auto｜
✅	101018	获取玩家的当前回合数	玩家	OnPlay → 消费者(202001).v ← 101018「获取玩家的当前回合数」.return；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=1（类型 Int32）｜日志=—	auto｜
✅	101019	玩家是否是先手	玩家	OnPlay → 消费者(202001).v ← 101019「玩家是否是先手」.return；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=—	auto｜
✅	101021	获取疲劳层数	玩家	OnPlay → 消费者(202001).v ← 101021「获取疲劳层数」.return；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=0（类型 Int32）｜日志=—	auto｜
✅	201013	设置疲劳层数	玩家	OnPlay → 201013「设置疲劳层数」；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	201014	增加疲劳层数	玩家	OnPlay → 201014「增加疲劳层数」；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	201015	受到疲劳伤害	玩家	OnPlay → 201015「受到疲劳伤害」；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	105001	卡牌所在牌堆判断（过时）	牌堆	OnPlay → 消费者(202001).v ← 105001「卡牌所在牌堆判断（过时）」.return；card ← 入口「卡牌」口(施法卡)；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=—	auto｜
✅	105005	卡牌所在牌堆判断	牌堆	OnPlay → 消费者(202001).v ← 105005「卡牌所在牌堆判断」.return；card ← 入口「卡牌」口(施法卡)；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=—	auto｜
✅	206002	移除增益	增益	OnPlay → 206002「移除增益」；card ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	206003	设置增益属性	增益	OnPlay → 206003「设置增益属性」；Run(OnPlay)	Run 动作数=1；日志=[NodeDoc] 206003 设置增益属性失败：无目标卡	auto｜要求执行数≥1
✅	206004	设置增益属性可见性	增益	OnPlay → 206004「设置增益属性可见性」；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	106007	增益属性是否可见	增益	OnPlay → 消费者(202001).v ← 106007「增益属性是否可见」.return；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=—	auto｜
